"","x","y","Fir","Maple","Buckeye","Other.hardwood","Alder","Birch","Ironwood","Hickory","Hackberry","Cedar.juniper","Dogwood","Beech","Ash","Walnut","Tamarack","Tulip.poplar","Spruce","Pine","Sycamore","Poplar","Cherry","Oak","Willow","Basswood","Hemlock","Elm"
"1",141000,1486000,29.7418047572686,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,22.3063535679515,NA,NA,66.9190607038543,NA,14.8709023786343,NA,297.418047572686,NA,NA,178.450828543612,NA,NA,NA,NA,NA,NA
"2",149000,1486000,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA,118.967219029074,NA,NA,118.967219029074,NA,NA,NA,NA,NA,NA
"3",141000,1478000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,126.402670218392,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",149000,1478000,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,39.6557396763581,NA,NA,29.7418047572686,NA,44.6127071359029,NA,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",157000,1478000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"6",5000,1470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA
"7",141000,1470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,59.4836095145372,NA,148.709023786343,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA
"8",149000,1470000,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,NA,104.09631665044,NA,178.450828543612,NA,37.1772559465857,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"9",13000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.709023786343,NA,NA,NA,NA,NA,NA
"10",37000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,29.7418047572686,NA,NA,NA,NA
"11",45000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,NA,NA,NA,14.8709023786343
"12",53000,1462000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.19263330088,NA,NA,NA,NA,NA,NA
"13",-19000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",-11000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",5000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,133.838121407709,NA,NA,NA,NA
"16",21000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,14.8709023786343,NA,NA,NA,NA
"17",29000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2254142718058,NA,NA,NA,NA,NA,NA
"18",37000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"19",77000,1454000,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"20",85000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"21",93000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA
"22",101000,1454000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"23",21000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"24",29000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.09631665044,NA,NA,NA,NA,NA,NA
"25",69000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",77000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
"27",85000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"28",101000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3545118931715,NA,NA,NA,NA,NA,NA
"29",109000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.579926164977,NA,NA,NA,NA,NA,NA
"30",117000,1446000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,59.4836095145372,NA,NA,NA,NA,NA,NA
"31",13000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8709023786343,NA,NA,NA,NA,NA,NA,81.7899630824886,NA,29.7418047572686,NA,NA,NA,14.8709023786343
"32",21000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.967219029074,NA,NA,NA,NA,NA,NA
"33",29000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"34",45000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7418047572686,NA,NA,NA,NA,NA,NA
"35",77000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,156.14447497566,NA,NA,NA,NA,NA,NA
"36",125000,1438000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6127071359029,NA,NA,NA,NA,NA,NA
