"","x","y","taxon","mean","sd","proj"
"1",-67000,1494000,"Beech",NA,NA,"+init=epsg:3175 +proj=aea +lat_1=42.122774 +lat_2=49.01518 +lat_0=45.568977 +lon_0=-83.248627 +x_0=1000000 +y_0=1000000 +datum=NAD83 +units=m +no_defs +ellps=GRS80 +towgs84=0,0,0"
"2",-59000,1494000,"Beech",NA,NA,NA
"3",-51000,1494000,"Beech",NA,NA,NA
"4",-43000,1494000,"Beech",NA,NA,NA
"5",-35000,1494000,"Beech",NA,NA,NA
"6",-27000,1494000,"Beech",NA,NA,NA
"7",-19000,1494000,"Beech",NA,NA,NA
"8",-11000,1494000,"Beech",NA,NA,NA
"9",-3000,1494000,"Beech",NA,NA,NA
"10",5000,1494000,"Beech",NA,NA,NA
"11",13000,1494000,"Beech",NA,NA,NA
"12",21000,1494000,"Beech",NA,NA,NA
"13",29000,1494000,"Beech",NA,NA,NA
"14",37000,1494000,"Beech",NA,NA,NA
"15",45000,1494000,"Beech",NA,NA,NA
"16",53000,1494000,"Beech",NA,NA,NA
"17",61000,1494000,"Beech",NA,NA,NA
"18",69000,1494000,"Beech",NA,NA,NA
"19",77000,1494000,"Beech",NA,NA,NA
"20",85000,1494000,"Beech",NA,NA,NA
"21",93000,1494000,"Beech",NA,NA,NA
"22",101000,1494000,"Beech",NA,NA,NA
"23",109000,1494000,"Beech",NA,NA,NA
"24",117000,1494000,"Beech",NA,NA,NA
"25",125000,1494000,"Beech",NA,NA,NA
"26",133000,1494000,"Beech",NA,NA,NA
"27",141000,1494000,"Beech",NA,NA,NA
"28",149000,1494000,"Beech",NA,NA,NA
"29",157000,1494000,"Beech",NA,NA,NA
"30",165000,1494000,"Beech",NA,NA,NA
"31",173000,1494000,"Beech",NA,NA,NA
"32",181000,1494000,"Beech",NA,NA,NA
"33",189000,1494000,"Beech",NA,NA,NA
"34",197000,1494000,"Beech",NA,NA,NA
"35",205000,1494000,"Beech",NA,NA,NA
"36",213000,1494000,"Beech",NA,NA,NA
"37",221000,1494000,"Beech",NA,NA,NA
"38",229000,1494000,"Beech",NA,NA,NA
"39",237000,1494000,"Beech",NA,NA,NA
"40",245000,1494000,"Beech",NA,NA,NA
"41",253000,1494000,"Beech",NA,NA,NA
"42",261000,1494000,"Beech",NA,NA,NA
"43",269000,1494000,"Beech",NA,NA,NA
"44",277000,1494000,"Beech",NA,NA,NA
"45",285000,1494000,"Beech",NA,NA,NA
"46",293000,1494000,"Beech",NA,NA,NA
"47",301000,1494000,"Beech",NA,NA,NA
"48",309000,1494000,"Beech",NA,NA,NA
"49",317000,1494000,"Beech",NA,NA,NA
"50",325000,1494000,"Beech",NA,NA,NA
"51",333000,1494000,"Beech",NA,NA,NA
"52",341000,1494000,"Beech",NA,NA,NA
"53",349000,1494000,"Beech",NA,NA,NA
"54",357000,1494000,"Beech",NA,NA,NA
"55",365000,1494000,"Beech",NA,NA,NA
"56",373000,1494000,"Beech",NA,NA,NA
"57",381000,1494000,"Beech",NA,NA,NA
"58",389000,1494000,"Beech",NA,NA,NA
"59",397000,1494000,"Beech",NA,NA,NA
"60",405000,1494000,"Beech",NA,NA,NA
"61",413000,1494000,"Beech",NA,NA,NA
"62",421000,1494000,"Beech",NA,NA,NA
"63",429000,1494000,"Beech",NA,NA,NA
"64",437000,1494000,"Beech",NA,NA,NA
"65",445000,1494000,"Beech",NA,NA,NA
"66",453000,1494000,"Beech",NA,NA,NA
"67",461000,1494000,"Beech",NA,NA,NA
"68",469000,1494000,"Beech",NA,NA,NA
"69",477000,1494000,"Beech",NA,NA,NA
"70",485000,1494000,"Beech",NA,NA,NA
"71",493000,1494000,"Beech",NA,NA,NA
"72",501000,1494000,"Beech",NA,NA,NA
"73",509000,1494000,"Beech",NA,NA,NA
"74",517000,1494000,"Beech",NA,NA,NA
"75",525000,1494000,"Beech",NA,NA,NA
"76",533000,1494000,"Beech",NA,NA,NA
"77",541000,1494000,"Beech",NA,NA,NA
"78",549000,1494000,"Beech",NA,NA,NA
"79",557000,1494000,"Beech",NA,NA,NA
"80",565000,1494000,"Beech",NA,NA,NA
"81",573000,1494000,"Beech",NA,NA,NA
"82",581000,1494000,"Beech",NA,NA,NA
"83",589000,1494000,"Beech",NA,NA,NA
"84",597000,1494000,"Beech",NA,NA,NA
"85",605000,1494000,"Beech",NA,NA,NA
"86",613000,1494000,"Beech",NA,NA,NA
"87",621000,1494000,"Beech",NA,NA,NA
"88",629000,1494000,"Beech",NA,NA,NA
"89",637000,1494000,"Beech",NA,NA,NA
"90",645000,1494000,"Beech",NA,NA,NA
"91",653000,1494000,"Beech",NA,NA,NA
"92",661000,1494000,"Beech",NA,NA,NA
"93",669000,1494000,"Beech",NA,NA,NA
"94",677000,1494000,"Beech",NA,NA,NA
"95",685000,1494000,"Beech",NA,NA,NA
"96",693000,1494000,"Beech",NA,NA,NA
"97",701000,1494000,"Beech",NA,NA,NA
"98",709000,1494000,"Beech",NA,NA,NA
"99",717000,1494000,"Beech",NA,NA,NA
"100",725000,1494000,"Beech",NA,NA,NA
"101",733000,1494000,"Beech",NA,NA,NA
"102",741000,1494000,"Beech",NA,NA,NA
"103",749000,1494000,"Beech",NA,NA,NA
"104",757000,1494000,"Beech",NA,NA,NA
"105",765000,1494000,"Beech",NA,NA,NA
"106",773000,1494000,"Beech",NA,NA,NA
"107",781000,1494000,"Beech",NA,NA,NA
"108",789000,1494000,"Beech",NA,NA,NA
"109",797000,1494000,"Beech",NA,NA,NA
"110",805000,1494000,"Beech",NA,NA,NA
"111",813000,1494000,"Beech",NA,NA,NA
"112",821000,1494000,"Beech",NA,NA,NA
"113",829000,1494000,"Beech",NA,NA,NA
"114",837000,1494000,"Beech",NA,NA,NA
"115",845000,1494000,"Beech",NA,NA,NA
"116",853000,1494000,"Beech",NA,NA,NA
"117",861000,1494000,"Beech",NA,NA,NA
"118",869000,1494000,"Beech",NA,NA,NA
"119",877000,1494000,"Beech",NA,NA,NA
"120",885000,1494000,"Beech",NA,NA,NA
"121",893000,1494000,"Beech",NA,NA,NA
"122",901000,1494000,"Beech",NA,NA,NA
"123",909000,1494000,"Beech",NA,NA,NA
"124",917000,1494000,"Beech",NA,NA,NA
"125",925000,1494000,"Beech",NA,NA,NA
"126",933000,1494000,"Beech",NA,NA,NA
"127",941000,1494000,"Beech",NA,NA,NA
"128",949000,1494000,"Beech",NA,NA,NA
"129",957000,1494000,"Beech",NA,NA,NA
"130",965000,1494000,"Beech",NA,NA,NA
"131",973000,1494000,"Beech",NA,NA,NA
"132",981000,1494000,"Beech",NA,NA,NA
"133",989000,1494000,"Beech",NA,NA,NA
"134",997000,1494000,"Beech",NA,NA,NA
"135",1005000,1494000,"Beech",NA,NA,NA
"136",1013000,1494000,"Beech",NA,NA,NA
"137",1021000,1494000,"Beech",NA,NA,NA
"138",1029000,1494000,"Beech",NA,NA,NA
"139",1037000,1494000,"Beech",NA,NA,NA
"140",1045000,1494000,"Beech",NA,NA,NA
"141",1053000,1494000,"Beech",NA,NA,NA
"142",1061000,1494000,"Beech",NA,NA,NA
"143",1069000,1494000,"Beech",NA,NA,NA
"144",1077000,1494000,"Beech",NA,NA,NA
"145",1085000,1494000,"Beech",NA,NA,NA
"146",1093000,1494000,"Beech",NA,NA,NA
"147",1101000,1494000,"Beech",NA,NA,NA
"148",1109000,1494000,"Beech",NA,NA,NA
"149",1117000,1494000,"Beech",NA,NA,NA
"150",1125000,1494000,"Beech",NA,NA,NA
"151",1133000,1494000,"Beech",NA,NA,NA
"152",1141000,1494000,"Beech",NA,NA,NA
"153",1149000,1494000,"Beech",NA,NA,NA
"154",1157000,1494000,"Beech",NA,NA,NA
"155",1165000,1494000,"Beech",NA,NA,NA
"156",1173000,1494000,"Beech",NA,NA,NA
"157",1181000,1494000,"Beech",NA,NA,NA
"158",1189000,1494000,"Beech",NA,NA,NA
"159",1197000,1494000,"Beech",NA,NA,NA
"160",1205000,1494000,"Beech",NA,NA,NA
"161",1213000,1494000,"Beech",NA,NA,NA
"162",1221000,1494000,"Beech",NA,NA,NA
"163",1229000,1494000,"Beech",NA,NA,NA
"164",1237000,1494000,"Beech",NA,NA,NA
"165",1245000,1494000,"Beech",NA,NA,NA
"166",1253000,1494000,"Beech",NA,NA,NA
"167",1261000,1494000,"Beech",NA,NA,NA
"168",1269000,1494000,"Beech",NA,NA,NA
"169",1277000,1494000,"Beech",NA,NA,NA
"170",1285000,1494000,"Beech",NA,NA,NA
"171",1293000,1494000,"Beech",NA,NA,NA
"172",1301000,1494000,"Beech",NA,NA,NA
"173",1309000,1494000,"Beech",NA,NA,NA
"174",1317000,1494000,"Beech",NA,NA,NA
"175",1325000,1494000,"Beech",NA,NA,NA
"176",1333000,1494000,"Beech",NA,NA,NA
"177",1341000,1494000,"Beech",NA,NA,NA
"178",1349000,1494000,"Beech",NA,NA,NA
"179",1357000,1494000,"Beech",NA,NA,NA
"180",1365000,1494000,"Beech",NA,NA,NA
"181",1373000,1494000,"Beech",NA,NA,NA
"182",1381000,1494000,"Beech",NA,NA,NA
"183",1389000,1494000,"Beech",NA,NA,NA
"184",1397000,1494000,"Beech",NA,NA,NA
"185",1405000,1494000,"Beech",NA,NA,NA
"186",1413000,1494000,"Beech",NA,NA,NA
"187",1421000,1494000,"Beech",NA,NA,NA
"188",1429000,1494000,"Beech",NA,NA,NA
"189",1437000,1494000,"Beech",NA,NA,NA
"190",1445000,1494000,"Beech",NA,NA,NA
"191",1453000,1494000,"Beech",NA,NA,NA
"192",1461000,1494000,"Beech",NA,NA,NA
"193",1469000,1494000,"Beech",NA,NA,NA
"194",1477000,1494000,"Beech",NA,NA,NA
"195",1485000,1494000,"Beech",NA,NA,NA
"196",1493000,1494000,"Beech",NA,NA,NA
"197",1501000,1494000,"Beech",NA,NA,NA
"198",1509000,1494000,"Beech",NA,NA,NA
"199",1517000,1494000,"Beech",NA,NA,NA
"200",1525000,1494000,"Beech",NA,NA,NA
"201",1533000,1494000,"Beech",NA,NA,NA
"202",1541000,1494000,"Beech",NA,NA,NA
"203",1549000,1494000,"Beech",NA,NA,NA
"204",1557000,1494000,"Beech",NA,NA,NA
"205",1565000,1494000,"Beech",NA,NA,NA
"206",1573000,1494000,"Beech",NA,NA,NA
"207",1581000,1494000,"Beech",NA,NA,NA
"208",1589000,1494000,"Beech",NA,NA,NA
"209",1597000,1494000,"Beech",NA,NA,NA
"210",1605000,1494000,"Beech",NA,NA,NA
"211",1613000,1494000,"Beech",NA,NA,NA
"212",1621000,1494000,"Beech",NA,NA,NA
"213",1629000,1494000,"Beech",NA,NA,NA
"214",1637000,1494000,"Beech",NA,NA,NA
"215",1645000,1494000,"Beech",NA,NA,NA
"216",1653000,1494000,"Beech",NA,NA,NA
"217",1661000,1494000,"Beech",NA,NA,NA
"218",1669000,1494000,"Beech",NA,NA,NA
"219",1677000,1494000,"Beech",NA,NA,NA
"220",1685000,1494000,"Beech",NA,NA,NA
"221",1693000,1494000,"Beech",NA,NA,NA
"222",1701000,1494000,"Beech",NA,NA,NA
"223",1709000,1494000,"Beech",NA,NA,NA
"224",1717000,1494000,"Beech",NA,NA,NA
"225",1725000,1494000,"Beech",NA,NA,NA
"226",1733000,1494000,"Beech",NA,NA,NA
"227",1741000,1494000,"Beech",NA,NA,NA
"228",1749000,1494000,"Beech",NA,NA,NA
"229",1757000,1494000,"Beech",NA,NA,NA
"230",1765000,1494000,"Beech",NA,NA,NA
"231",1773000,1494000,"Beech",NA,NA,NA
"232",1781000,1494000,"Beech",NA,NA,NA
"233",1789000,1494000,"Beech",NA,NA,NA
"234",1797000,1494000,"Beech",NA,NA,NA
"235",1805000,1494000,"Beech",NA,NA,NA
"236",1813000,1494000,"Beech",NA,NA,NA
"237",1821000,1494000,"Beech",NA,NA,NA
"238",1829000,1494000,"Beech",NA,NA,NA
"239",1837000,1494000,"Beech",NA,NA,NA
"240",1845000,1494000,"Beech",NA,NA,NA
"241",1853000,1494000,"Beech",NA,NA,NA
"242",1861000,1494000,"Beech",NA,NA,NA
"243",1869000,1494000,"Beech",NA,NA,NA
"244",1877000,1494000,"Beech",NA,NA,NA
"245",1885000,1494000,"Beech",NA,NA,NA
"246",1893000,1494000,"Beech",NA,NA,NA
"247",1901000,1494000,"Beech",NA,NA,NA
"248",1909000,1494000,"Beech",NA,NA,NA
"249",1917000,1494000,"Beech",NA,NA,NA
"250",1925000,1494000,"Beech",NA,NA,NA
"251",1933000,1494000,"Beech",NA,NA,NA
"252",1941000,1494000,"Beech",NA,NA,NA
"253",1949000,1494000,"Beech",NA,NA,NA
"254",1957000,1494000,"Beech",NA,NA,NA
"255",1965000,1494000,"Beech",NA,NA,NA
"256",1973000,1494000,"Beech",NA,NA,NA
"257",1981000,1494000,"Beech",NA,NA,NA
"258",1989000,1494000,"Beech",NA,NA,NA
"259",1997000,1494000,"Beech",NA,NA,NA
"260",2005000,1494000,"Beech",NA,NA,NA
"261",2013000,1494000,"Beech",NA,NA,NA
"262",2021000,1494000,"Beech",NA,NA,NA
"263",2029000,1494000,"Beech",NA,NA,NA
"264",2037000,1494000,"Beech",NA,NA,NA
"265",2045000,1494000,"Beech",NA,NA,NA
"266",2053000,1494000,"Beech",NA,NA,NA
"267",2061000,1494000,"Beech",NA,NA,NA
"268",2069000,1494000,"Beech",NA,NA,NA
"269",2077000,1494000,"Beech",NA,NA,NA
"270",2085000,1494000,"Beech",NA,NA,NA
"271",2093000,1494000,"Beech",NA,NA,NA
"272",2101000,1494000,"Beech",NA,NA,NA
"273",2109000,1494000,"Beech",NA,NA,NA
"274",2117000,1494000,"Beech",NA,NA,NA
"275",2125000,1494000,"Beech",NA,NA,NA
"276",2133000,1494000,"Beech",NA,NA,NA
"277",2141000,1494000,"Beech",NA,NA,NA
"278",2149000,1494000,"Beech",NA,NA,NA
"279",2157000,1494000,"Beech",NA,NA,NA
"280",2165000,1494000,"Beech",NA,NA,NA
"281",2173000,1494000,"Beech",NA,NA,NA
"282",2181000,1494000,"Beech",NA,NA,NA
"283",2189000,1494000,"Beech",NA,NA,NA
"284",2197000,1494000,"Beech",NA,NA,NA
"285",2205000,1494000,"Beech",NA,NA,NA
"286",2213000,1494000,"Beech",NA,NA,NA
"287",2221000,1494000,"Beech",NA,NA,NA
"288",2229000,1494000,"Beech",NA,NA,NA
"289",2237000,1494000,"Beech",NA,NA,NA
"290",2245000,1494000,"Beech",NA,NA,NA
"291",2253000,1494000,"Beech",NA,NA,NA
"292",2261000,1494000,"Beech",NA,NA,NA
"293",2269000,1494000,"Beech",NA,NA,NA
"294",2277000,1494000,"Beech",NA,NA,NA
"295",2285000,1494000,"Beech",NA,NA,NA
"296",2293000,1494000,"Beech",NA,NA,NA
"297",-67000,1486000,"Beech",NA,NA,NA
"298",-59000,1486000,"Beech",NA,NA,NA
"299",-51000,1486000,"Beech",NA,NA,NA
"300",-43000,1486000,"Beech",NA,NA,NA
"301",-35000,1486000,"Beech",NA,NA,NA
"302",-27000,1486000,"Beech",NA,NA,NA
"303",-19000,1486000,"Beech",NA,NA,NA
"304",-11000,1486000,"Beech",NA,NA,NA
"305",-3000,1486000,"Beech",NA,NA,NA
"306",5000,1486000,"Beech",NA,NA,NA
"307",13000,1486000,"Beech",NA,NA,NA
"308",21000,1486000,"Beech",NA,NA,NA
"309",29000,1486000,"Beech",NA,NA,NA
"310",37000,1486000,"Beech",NA,NA,NA
"311",45000,1486000,"Beech",NA,NA,NA
"312",53000,1486000,"Beech",NA,NA,NA
"313",61000,1486000,"Beech",NA,NA,NA
"314",69000,1486000,"Beech",NA,NA,NA
"315",77000,1486000,"Beech",NA,NA,NA
"316",85000,1486000,"Beech",NA,NA,NA
"317",93000,1486000,"Beech",NA,NA,NA
"318",101000,1486000,"Beech",NA,NA,NA
"319",109000,1486000,"Beech",NA,NA,NA
"320",117000,1486000,"Beech",NA,NA,NA
"321",125000,1486000,"Beech",NA,NA,NA
"322",133000,1486000,"Beech",NA,NA,NA
"323",141000,1486000,"Beech",0,0,NA
"324",149000,1486000,"Beech",NA,NA,NA
"325",157000,1486000,"Beech",NA,NA,NA
"326",165000,1486000,"Beech",NA,NA,NA
"327",173000,1486000,"Beech",NA,NA,NA
"328",181000,1486000,"Beech",NA,NA,NA
"329",189000,1486000,"Beech",NA,NA,NA
"330",197000,1486000,"Beech",NA,NA,NA
"331",205000,1486000,"Beech",NA,NA,NA
"332",213000,1486000,"Beech",NA,NA,NA
"333",221000,1486000,"Beech",NA,NA,NA
